<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.11	20:35:00	1.19802	1.19825	1.19798	1.19825	90	0	1
2021.03.11	20:36:00	1.19825	1.19833	1.19821	1.19830	61	0	1
2021.03.11	20:37:00	1.19830	1.19835	1.19825	1.19834	64	0	1
2021.03.11	20:38:00	1.19833	1.19839	1.19822	1.19826	47	0	1
2021.03.11	20:39:00	1.19824	1.19832	1.19807	1.19811	67	0	1
2021.03.11	20:40:00	1.19811	1.19834	1.19811	1.19829	97	0	1
2021.03.11	20:41:00	1.19831	1.19835	1.19816	1.19816	50	0	1
2021.03.11	20:42:00	1.19815	1.19819	1.19809	1.19809	69	0	1
2021.03.11	20:43:00	1.19809	1.19815	1.19803	1.19811	46	0	1
2021.03.11	20:44:00	1.19814	1.19826	1.19812	1.19815	32	0	1
2021.03.11	20:45:00	1.19814	1.19828	1.19806	1.19822	68	0	1
2021.03.11	20:46:00	1.19822	1.19827	1.19815	1.19816	84	0	1
2021.03.11	20:47:00	1.19816	1.19829	1.19811	1.19814	72	0	1
2021.03.11	20:48:00	1.19813	1.19830	1.19813	1.19830	40	0	1
2021.03.11	20:49:00	1.19830	1.19842	1.19826	1.19840	73	0	1
2021.03.11	20:50:00	1.19841	1.19847	1.19825	1.19827	40	0	1
2021.03.11	20:51:00	1.19829	1.19855	1.19824	1.19855	85	0	1
2021.03.11	20:52:00	1.19855	1.19855	1.19842	1.19850	50	0	1
2021.03.11	20:53:00	1.19850	1.19862	1.19845	1.19855	65	0	1
2021.03.11	20:54:00	1.19858	1.19861	1.19848	1.19858	52	0	1
2021.03.11	20:55:00	1.19858	1.19875	1.19857	1.19872	69	0	1
2021.03.11	20:56:00	1.19872	1.19885	1.19869	1.19881	70	0	1
2021.03.11	20:57:00	1.19881	1.19887	1.19865	1.19869	88	0	1
2021.03.11	20:58:00	1.19868	1.19875	1.19866	1.19871	66	0	1
2021.03.11	20:59:00	1.19871	1.19875	1.19856	1.19858	71	0	1
2021.03.11	21:00:00	1.19858	1.19877	1.19857	1.19868	73	0	1
2021.03.11	21:01:00	1.19870	1.19881	1.19869	1.19879	59	0	1
2021.03.11	21:02:00	1.19876	1.19887	1.19872	1.19882	86	0	1
2021.03.11	21:03:00	1.19881	1.19892	1.19881	1.19892	73	0	1
2021.03.11	21:04:00	1.19893	1.19896	1.19889	1.19894	59	0	1
2021.03.11	21:05:00	1.19895	1.19898	1.19873	1.19873	54	0	1
2021.03.11	21:06:00	1.19872	1.19875	1.19858	1.19862	46	0	1
2021.03.11	21:07:00	1.19863	1.19872	1.19863	1.19872	59	0	1
2021.03.11	21:08:00	1.19872	1.19875	1.19861	1.19871	65	0	1
2021.03.11	21:09:00	1.19871	1.19871	1.19855	1.19857	58	0	1
2021.03.11	21:10:00	1.19858	1.19869	1.19853	1.19867	46	0	1
2021.03.11	21:11:00	1.19866	1.19878	1.19865	1.19877	39	0	1
2021.03.11	21:12:00	1.19876	1.19879	1.19865	1.19866	37	0	1
2021.03.11	21:13:00	1.19866	1.19869	1.19856	1.19857	41	0	1
2021.03.11	21:14:00	1.19857	1.19861	1.19851	1.19853	38	0	1
2021.03.11	21:15:00	1.19853	1.19858	1.19850	1.19852	73	0	1
2021.03.11	21:16:00	1.19850	1.19857	1.19849	1.19856	40	0	1
2021.03.11	21:17:00	1.19857	1.19864	1.19843	1.19843	45	0	1
2021.03.11	21:18:00	1.19843	1.19844	1.19836	1.19837	58	0	1
2021.03.11	21:19:00	1.19836	1.19841	1.19822	1.19822	72	0	1
2021.03.11	21:20:00	1.19822	1.19832	1.19818	1.19818	53	0	1
