Date,Open,High,Low,Close,Ticks,Volume,Spread
2020.01.02,117070,119100,116865,119100,1677027,7389956,5
2020.01.03,117410,119405,116995,118285,2241076,9160675,5
2020.01.06,117790,118260,116785,117360,2347932,9733277,5
2020.01.07,117760,117925,116340,117110,2108472,8851342,5
2020.01.08,117205,117885,116080,116295,2468876,10371140,5
2020.01.09,117240,117355,115810,116355,2407838,10122131,5
2020.01.10,116815,117230,115320,115940,2036202,8659952,5
2020.01.13,116330,117890,116120,117875,2124337,8747811,5
2020.01.14,117690,118100,116955,117900,1994508,9082836,5
2020.01.15,117820,117840,116525,116790,2078259,8628689,5
2020.01.16,117100,117540,116230,117030,2126544,9109108,5
2020.01.17,117400,118810,117225,118800,1631927,6737240,5
2020.01.20,118605,119175,118135,119090,1788189,6884522,5
2020.01.21,118300,118900,117100,117210,2112895,8900663,5
2020.01.22,117770,118670,117685,118550,1822010,7632209,5
2020.01.23,118200,119875,117115,119785,2410205,10331062,5
2020.01.24,119895,120080,118270,118500,2581703,10847237,5
2020.01.27,116600,116890,114450,114670,2663455,10963937,5
2020.01.28,115045,117050,114930,116585,2580298,10865129,5
2020.01.29,116990,117395,115260,115540,2855020,11135682,5
2020.01.30,114260,115785,112910,115500,2932368,12067898,5
2020.01.31,114600,114685,113220,113880,3202167,12696367,5
2020.02.03,114450,115500,113595,114760,2611679,11034811,5
2020.02.04,116275,116785,115570,115670,2562897,10835019,5
2020.02.05,116795,117855,116170,116450,2310479,10562287,5
2020.02.06,117000,117535,114775,115250,2578560,11004752,5
2020.02.07,114875,115245,113535,113570,2502520,10296452,5
2020.02.10,113655,114195,112135,113105,2652879,9936696,5
2020.02.11,113735,115620,113565,115420,2743154,10984206,5
2020.02.12,117020,118420,116310,117350,2311801,9801557,5
2020.02.13,116105,116705,115440,116195,2651450,10617027,5
2020.02.14,116750,116930,114765,114975,2320992,9646715,5
2020.02.17,115500,116395,115320,115700,1937670,7375245,5
2020.02.18,114850,115760,114140,115760,2277121,9135614,5
2020.02.19,115950,117220,115280,116980,2335084,9365027,5
2020.02.20,116720,117180,114900,114900,2886348,11377650,5
2020.02.21,114400,114510,113180,114275,2580406,9684063,5
2020.02.26,108710,109135,105470,106085,2393117,9279459,5
2020.02.27,104750,107185,103000,103070,4509057,17392440,5
2020.02.28,101350,104920,100335,104915,4854575,19141566,5
2020.03.02,103860,107760,103090,107500,4395056,16226490,5
2020.03.03,107655,109960,104775,105600,4750908,17847346,5
2020.03.04,107500,108495,105350,107415,3922750,14430307,5
2020.03.05,105800,106545,100760,102600,3767106,14792535,5
2020.03.06,99090,99805,97165,98040,4508139,15398343,5
2020.03.09,88540,90890,86080,86080,2197208,4901004,5
2020.03.10,90665,92780,87355,92625,4992175,12517084,5
2020.03.11,89600,90680,80540,80580,3928776,11249393,5
2020.03.12,76365,76365,72125,72125,102405,338277,5
2020.03.13,79300,82940,72510,80020,1642597,2892333,5
2020.03.16,74415,76425,70280,70280,1970324,3356663,5
2020.03.17,70625,77410,70600,73300,3424496,5456038,5
2020.03.18,67255,70300,63520,68100,1513143,2508849,5
2020.03.19,66150,70060,61450,65500,3094171,4707757,5
2020.03.20,69805,72385,65780,66390,5251157,8133013,5
2020.03.23,64240,69965,61900,63920,4907702,8148760,5
2020.03.24,68380,71700,66670,69000,2947793,5782298,5
2020.03.25,68510,76800,67740,74600,4616869,9677961,5
2020.03.26,73100,78850,72215,77650,4815725,10161881,5
2020.03.27,74760,75810,72500,73450,4617316,10117765,5
2020.03.30,73400,75160,72820,75160,4338541,10195830,5
2020.03.31,75100,75485,71880,71950,3809717,10310565,5
2020.04.01,69925,71570,68870,71200,4059619,10625357,5
