Date,Time,Open,High,Low,Close,Tick,Volume,Spread
2021.03.01,09:05:00,111350,111520,111350,111510,8626,34298,5
2021.03.01,09:06:00,111510,111675,111505,111575,15885,55309,5
2021.03.01,09:07:00,111575,111600,111535,111600,4764,16985,5
2021.03.01,09:08:00,111595,111710,111575,111650,10123,33576,5
2021.03.01,09:09:00,111650,111670,111485,111495,10361,33581,5
2021.03.01,09:10:00,111495,111595,111475,111590,8708,26893,5
2021.03.01,09:11:00,111590,111595,111510,111515,5064,20350,5
2021.03.01,09:12:00,111520,111535,111310,111345,15959,49837,5
2021.03.01,09:13:00,111345,111350,111235,111255,11082,33809,5
2021.03.01,09:14:00,111260,111320,111240,111315,7557,26308,5
2021.03.01,09:15:00,111315,111485,111250,111480,14156,45669,5
2021.03.01,09:16:00,111480,111600,111470,111540,14512,48088,5
2021.03.01,09:17:00,111545,111660,111515,111645,9839,33476,5
2021.03.01,09:18:00,111645,111775,111615,111760,15381,52252,5
2021.03.01,09:19:00,111765,111780,111715,111760,7690,25043,5
2021.03.01,09:20:00,111765,111770,111720,111750,5592,17273,5
2021.03.01,09:21:00,111750,111810,111740,111805,8608,25897,5
2021.03.01,09:22:00,111805,111885,111780,111780,14693,48117,5
2021.03.01,09:23:00,111780,111815,111735,111760,8058,25984,5
2021.03.01,09:24:00,111760,111765,111665,111665,9465,29386,5
2021.03.01,09:25:00,111670,111680,111605,111650,11889,37884,5
2021.03.01,09:26:00,111655,111715,111650,111670,8412,29301,5
2021.03.01,09:27:00,111670,111690,111555,111590,9478,31895,5
2021.03.01,09:28:00,111585,111590,111515,111555,6606,21152,5
2021.03.01,09:29:00,111555,111590,111545,111580,3656,12410,5
2021.03.01,09:30:00,111575,111675,111545,111595,12263,41242,5
2021.03.01,09:31:00,111595,111645,111580,111610,4580,15560,5
2021.03.01,09:32:00,111610,111635,111565,111570,3557,12266,5
2021.03.01,09:33:00,111570,111660,111520,111650,9580,29637,5
2021.03.01,09:34:00,111645,111680,111590,111670,6704,22893,5
2021.03.01,09:35:00,111670,111690,111555,111560,9220,29687,5
2021.03.01,09:36:00,111555,111590,111535,111570,7126,24395,5
2021.03.01,09:37:00,111575,111590,111470,111490,9863,29871,5
2021.03.01,09:38:00,111490,111600,111455,111570,12448,39663,5
2021.03.01,09:39:00,111575,111635,111560,111600,6879,23180,5
2021.03.01,09:40:00,111600,111630,111530,111535,7128,23899,5
2021.03.01,09:41:00,111535,111560,111465,111510,8777,28456,5
2021.03.01,09:42:00,111510,111520,111455,111465,4348,14379,5
2021.03.01,09:43:00,111465,111500,111410,111495,11870,39596,5
2021.03.01,09:44:00,111500,111555,111475,111505,7827,27551,5
2021.03.01,09:45:00,111505,111605,111490,111555,10030,33364,5
2021.03.01,09:46:00,111555,111610,111555,111600,4559,16064,5
2021.03.01,09:47:00,111605,111630,111590,111595,6636,23271,5
2021.03.01,09:48:00,111595,111620,111550,111590,5405,18384,5
2021.03.01,09:49:00,111590,111595,111560,111565,2166,7860,5
2021.03.01,09:50:00,111570,111575,111540,111555,3477,11809,5
2021.03.01,09:51:00,111555,111595,111530,111590,4797,17597,5
2021.03.01,09:52:00,111590,111615,111565,111580,3539,12205,5
2021.03.01,09:53:00,111585,111655,111580,111615,6315,19987,5
2021.03.01,09:54:00,111615,111630,111600,111610,2966,10371,5
2021.03.01,09:55:00,111605,111625,111560,111595,3934,13969,5
2021.03.01,09:56:00,111600,111610,111585,111600,1288,4433,5
2021.03.01,09:57:00,111595,111610,111575,111585,1649,6047,5
2021.03.01,09:58:00,111585,111600,111570,111570,2112,6081,5
2021.03.01,09:59:00,111570,111610,111540,111590,4858,17071,5
2021.03.01,10:00:00,111595,111770,111540,111710,25094,89939,5
2021.03.01,10:01:00,111705,111820,111670,111740,17482,59200,5
2021.03.01,10:02:00,111740,111755,111645,111675,11440,35750,5
2021.03.01,10:03:00,111675,111760,111670,111705,8230,28637,5
2021.03.01,10:04:00,111710,111780,111675,111700,7011,23961,5
2021.03.01,10:05:00,111695,111780,111655,111750,9263,32077,5
2021.03.01,10:06:00,111750,111790,111685,111735,7401,25459,5
2021.03.01,10:07:00,111730,111775,111715,111750,4189,15665,5
2021.03.01,10:08:00,111755,111775,111715,111750,3702,14007,5
2021.03.01,10:09:00,111750,111840,111730,111805,11579,40634,5
2021.03.01,10:10:00,111805,111865,111700,111705,16243,51763,5
2021.03.01,10:11:00,111705,111750,111665,111725,11214,37131,5
2021.03.01,10:12:00,111720,111770,111700,111745,6236,23554,5
2021.03.01,10:13:00,111740,111770,111655,111680,9331,33588,5
2021.03.01,10:14:00,111675,111725,111660,111690,4903,18516,5
2021.03.01,10:15:00,111690,111740,111585,111640,17151,56269,5
2021.03.01,10:16:00,111640,111645,111565,111610,8635,29600,5
2021.03.01,10:17:00,111605,111705,111555,111685,14010,49146,5
2021.03.01,10:18:00,111685,111715,111620,111680,9510,35723,5
2021.03.01,10:19:00,111680,111730,111625,111645,10665,42523,5
2021.03.01,10:20:00,111645,111670,111495,111525,18358,57877,5
2021.03.01,10:21:00,111525,111530,111415,111445,19092,63903,5
2021.03.01,10:22:00,111440,111500,111310,111335,20565,63717,5
2021.03.01,10:23:00,111335,111360,111210,111250,21656,74208,5
2021.03.01,10:24:00,111250,111375,111190,111350,20610,64654,5
2021.03.01,10:25:00,111350,111440,111280,111300,19324,62449,5
2021.03.01,10:26:00,111300,111360,111180,111285,19317,65020,5
2021.03.01,10:27:00,111280,111330,111145,111250,18204,60642,5
2021.03.01,10:28:00,111245,111335,111240,111315,9456,33281,5
2021.03.01,10:29:00,111315,111335,111165,111185,10424,37108,5
2021.03.01,10:30:00,111190,111330,111160,111305,16297,55939,5
2021.03.01,10:31:00,111305,111310,111190,111210,8960,33530,5
2021.03.01,10:32:00,111215,111305,111200,111245,8031,32042,5
2021.03.01,10:33:00,111245,111275,111180,111265,6833,27855,5
2021.03.01,10:34:00,111265,111305,111200,111285,8125,32566,5
2021.03.01,10:35:00,111285,111545,111280,111520,31778,108458,5
2021.03.01,10:36:00,111520,111560,111320,111320,20175,70420,5
2021.03.01,10:37:00,111320,111370,111260,111370,12503,42615,5
2021.03.01,10:38:00,111365,111665,111350,111645,25262,88536,5
2021.03.01,10:39:00,111645,111680,111570,111640,13798,51345,5
2021.03.01,10:40:00,111640,111670,111550,111610,12954,45231,5
2021.03.01,10:41:00,111610,111710,111560,111665,12102,44132,5
2021.03.01,10:42:00,111670,111695,111565,111630,9775,34303,5
2021.03.01,10:43:00,111630,111670,111600,111630,5273,20984,5
