Date,Time,Open,High,Low,Close,Ticks,Volume,Spread
2020.01.02,09:00:00,117070,117250,117020,117150,41191,183516,5
2020.01.02,09:15:00,117150,117200,117095,117185,25489,105031,5
2020.01.02,09:30:00,117185,117190,116905,116935,45811,181029,5
2020.01.02,09:45:00,116935,117075,116865,117055,37503,138922,5
2020.01.02,10:00:00,117055,117285,116900,117060,87927,340959,5
2020.01.02,10:15:00,117065,117170,116875,117045,61727,248797,5
2020.01.02,10:30:00,117045,117440,117045,117415,69857,281433,5
2020.01.02,10:45:00,117420,117575,117365,117570,48218,201516,5
2020.01.02,11:00:00,117570,117665,117530,117575,51411,226362,5
2020.01.02,11:15:00,117580,117685,117550,117650,39234,174571,5
2020.01.02,11:30:00,117650,118300,117635,118155,117716,574763,5
2020.01.02,11:45:00,118155,118405,118030,118390,75353,357533,5
2020.01.02,12:00:00,118390,118430,118180,118235,50736,223588,5
2020.01.02,12:15:00,118230,118235,118015,118150,52320,242871,5
2020.01.02,12:30:00,118145,118200,118060,118165,35467,164473,5
2020.01.02,12:45:00,118165,118320,118135,118290,38741,174049,5
2020.01.02,13:00:00,118295,118425,118265,118390,43121,193756,5
2020.01.02,13:15:00,118390,118400,118220,118250,37711,168066,5
2020.01.02,13:30:00,118260,118260,118085,118200,45091,201641,5
2020.01.02,13:45:00,118200,118240,118090,118230,36955,163466,5
2020.01.02,14:00:00,118230,118320,118190,118265,35734,153543,5
2020.01.02,14:15:00,118260,118375,118245,118275,29840,132768,5
2020.01.02,14:30:00,118280,118530,118205,118495,56512,253508,5
2020.01.02,14:45:00,118495,118580,118365,118425,41335,175784,5
2020.01.02,15:00:00,118430,118510,118415,118480,27652,116270,5
2020.01.02,15:15:00,118480,118695,118395,118635,50858,224710,5
2020.01.02,15:30:00,118635,118750,118580,118590,39446,177557,5
2020.01.02,15:45:00,118595,118600,118415,118475,37529,165715,5
2020.01.02,16:00:00,118470,118485,118320,118480,40977,179365,5
2020.01.02,16:15:00,118480,118645,118470,118595,43187,193764,5
2020.01.02,16:30:00,118595,118845,118580,118820,49843,240496,5
2020.01.02,16:45:00,118825,118890,118695,118715,42307,193514,5
2020.01.02,17:00:00,118710,118835,118685,118760,35991,161966,5
2020.01.02,17:15:00,118765,118855,118720,118825,29625,135626,5
2020.01.02,17:30:00,118825,118930,118810,118865,30178,132671,5
